time,flow
197,0.94
197.5,0.94
198,0.94
198.5,0.94
199,0.94
199.5,0.94
200,0.94
200.5,0.94
201,0.94
201.5,0.94
202,0.94
202.5,0.94
203,0.94
203.5,0.94
204,0.94
204.5,0.94
205,0.94
205.5,0.94
206,0.94
206.5,0.94
207,0.94
207.5,0.94
208,0.94
208.5,0.94
209,0.94
209.5,0.94
210,0.94
210.5,0.94
211,0.94
211.5,0.94
212,0.94
212.5,0.94
213,0.94
213.5,0.94
214,0.94
214.5,0.94
215,0.94
215.5,0.94
216,0.94
216.5,0.94
217,0.94
217.5,0.94
218,0.94
218.5,0.94
219,0.94
219.5,0.94
220,0.94
220.5,0.94
221,0.94
221.5,0.94
222,0.94
222.5,0.94
223,0.94
223.5,0.94
224,0.94
224.5,0.94
225,0.94
225.5,0.94
226,0.94
226.5,0.94
227,0.94
227.5,0.94
228,0.94
228.5,0.94
229,0.94
229.5,0.94
230,0.94
230.5,0.94
231,0.94
231.5,0.94
232,0.94
232.5,0.94
233,0.94
233.5,0.94
234,0.94
234.5,0.94
235,0.94
235.5,0.94
236,0.94
236.5,0.94
237,0.94
237.5,0.94
238,0.94
238.5,0.94
239,0.94
239.5,0.94
240,0.94
240.5,0.94
241,0.94
241.5,0.94
242,0.94
242.5,0.94
243,0.94
243.5,0.94
244,0.94
244.5,0.94
245,0.94
245.5,0.94
246,0.94
246.5,0.94
247,0.94
247.5,0.94
248,0.94
248.5,0.94
249,0.94
249.5,0.94
250,0.94
250.5,0.94
251,0.94
251.5,0.94
252,0.94
252.5,0.94
253,0.94
253.5,0.94
254,0.94
254.5,0.94
255,0.94
255.5,0.94
256,0.94
256.5,0.94
257,0.94
257.5,0.94
258,0.94
258.5,0.94
259,0.94
259.5,0.94
260,0.94
260.5,0.94
261,0.94
261.5,0.94
262,0.94
262.5,0.94
263,0.94
263.5,0.94
264,0.94
264.5,0.94
265,0.94
265.5,0.94
266,0.94
266.5,0.94
267,0.94
267.5,0.94
268,0.94
268.5,0.94
269,0.94
269.5,0.94
270,0.94
270.5,0.94
271,0.94
271.5,0.94
272,0.94
272.5,0.94
273,0.94
273.5,0.94
274,0.94
274.5,0.94
275,0.94
275.5,0.94
276,0.94
276.5,0.94
277,0.94
277.5,0.94
278,0.94
278.5,0.94
279,0.94
279.5,0.94
280,0.94
280.5,0.94
281,0.94
281.5,0.94
282,0.94
282.5,0.94
283,0.94
283.5,0.94
284,0.94
284.5,0.94
285,0.94
285.5,0.94
286,0.94
286.5,0.94
287,0.94
287.5,0.94
288,0.94
288.5,0.94
289,0.94
289.5,0.94
290,0.94
290.5,0.94
291,0.94
291.5,0.94
292,0.94
292.5,0.94
293,0.94
293.5,0.94
294,0.94
294.5,0.94
295,0.94
295.5,0.94
296,0.94
296.5,0.94
297,0.94
297.5,0.94
298,0.94
298.5,0.94
299,0.94
299.5,0.94
300,0.94
300.5,0.94
301,0.94
301.5,0.94
302,0.94
302.5,0.94
303,0.94
303.5,0.94
304,0.94
304.5,0.94
305,0.94
305.5,0.94
306,0.94
306.5,0.94
307,0.94
307.5,0.94
308,0.94
308.5,0.94
309,0.94
309.5,0.94
310,0.94
310.5,0.94
311,0.94
311.5,0.94
312,0.94
312.5,0.94
313,0.94
313.5,0.94
314,0.94
314.5,0.94
315,0.94
315.5,0.94
316,0.94
316.5,0.94
317,0.94
317.5,0.94
318,0.94
318.5,0.94
319,0.94
319.5,0.94
320,0.94
320.5,0.94
321,0.94
321.5,0.94
322,0.94
322.5,0.94
323,0.94
323.5,0.94
324,0.94
324.5,0.94
325,0.94
325.5,0.94
326,0.94
326.5,0.94
327,0.94
327.5,0.94
328,0.94
328.5,0.94
329,0.94
329.5,0.94
330,0.94
330.5,0.94
331,0.94
331.5,0.94
332,0.94
332.5,0.94
333,0.94
333.5,0.94
334,0.94
334.5,0.94
335,0.94
335.5,0.94
336,0.94
336.5,0.94
337,0.94
337.5,0.94
338,0.94
338.5,0.94
339,0.94
339.5,0.94
340,0.94
340.5,0.94
341,0.94
341.5,0.94
342,0.94
342.5,0.94
343,0.94
343.5,0.94
344,0.94
344.5,0.94
345,0.94
345.5,0.94
346,0.94
346.5,0.94
347,0.94
347.5,0.94
348,0.94
348.5,0.94
349,0.94
349.5,0.94
350,0.94
350.5,0.94
351,0.94
351.5,0.94
352,0.94
352.5,0.94
353,0.94
353.5,0.94
354,0.94
354.5,0.94
355,0.94
355.5,0.94
356,0.94
356.5,0.94
357,0.94
357.5,0.94
358,0.94
358.5,0.94
359,0.94
359.5,0.94
360,0.94
360.5,0.938
361,0.936
361.5,0.934
362,0.932
362.5,0.93
363,0.928
363.5,0.926
364,0.924
364.5,0.922
365,0.92
365.5,0.918
366,0.916
366.5,0.914
367,0.912
367.5,0.91
368,0.908
368.5,0.906
369,0.904
369.5,0.902
370,0.9
370.5,0.898
371,0.896
371.5,0.894
372,0.892
372.5,0.89
373,0.888
373.5,0.886
374,0.884
374.5,0.882
375,0.88
375.5,0.878
376,0.876
376.5,0.874
377,0.872
377.5,0.87
378,0.868
378.5,0.866
379,0.864
379.5,0.862
380,0.86
380.5,0.858
381,0.856
381.5,0.854
382,0.852
382.5,0.85
383,0.848
383.5,0.846
384,0.844
384.5,0.842
385,0.84
385.5,0.838
386,0.836
386.5,0.834
387,0.832
387.5,0.83
388,0.828
388.5,0.826
389,0.824
389.5,0.822
390,0.82
390.5,0.818
391,0.816
391.5,0.814
392,0.812
392.5,0.81
393,0.808
393.5,0.806
394,0.804
394.5,0.802
395,0.8
395.5,0.798
396,0.796
396.5,0.794
397,0.792
397.5,0.79
398,0.788
398.5,0.786
399,0.784
399.5,0.782
400,0.78
400.5,0.778
401,0.776
401.5,0.774
402,0.772
402.5,0.77
403,0.768
403.5,0.766
404,0.764
404.5,0.762
405,0.76
405.5,0.758
406,0.756
406.5,0.754
407,0.752
407.5,0.75
408,0.748
408.5,0.746
409,0.744
409.5,0.742
410,0.74
410.5,0.738
411,0.736
411.5,0.734
412,0.732
412.5,0.73
413,0.728
413.5,0.726
414,0.724
414.5,0.722
415,0.72
415.5,0.718
416,0.716
416.5,0.714
417,0.712
417.5,0.71
418,0.708
418.5,0.706
419,0.704
419.5,0.702
420,0.7
420.5,0.7
421,0.7
421.5,0.7
422,0.7
422.5,0.7
423,0.7
423.5,0.7
424,0.7
424.5,0.7
425,0.7
425.5,0.7
426,0.7
426.5,0.7
427,0.7
427.5,0.7
428,0.7
428.5,0.7
429,0.7
429.5,0.7
430,0.7
430.5,0.7
431,0.7
431.5,0.7
432,0.7
432.5,0.7
433,0.7
433.5,0.7
434,0.7
434.5,0.7
435,0.7
435.5,0.7
436,0.7
436.5,0.7
437,0.7
437.5,0.7
438,0.7
438.5,0.7
439,0.7
439.5,0.7
440,0.7
440.5,0.7
441,0.7
441.5,0.7
442,0.7
442.5,0.7
443,0.7
443.5,0.7
444,0.7
444.5,0.7
445,0.7
445.5,0.7
446,0.7
446.5,0.7
447,0.7
447.5,0.7
448,0.7
448.5,0.7
449,0.7
449.5,0.7
450,0.7
450.5,0.7
451,0.7
451.5,0.7
452,0.7
452.5,0.7
453,0.7
453.5,0.7
454,0.7
454.5,0.7
455,0.7
455.5,0.7
456,0.7
456.5,0.7
457,0.7
457.5,0.7
458,0.7
458.5,0.7
459,0.7
459.5,0.7
460,0.7
460.5,0.7
461,0.7
461.5,0.7
462,0.7
462.5,0.7
463,0.7
463.5,0.7
464,0.7
464.5,0.7
465,0.7
465.5,0.7
466,0.7
466.5,0.7
467,0.7
467.5,0.7
468,0.7
468.5,0.7
469,0.7
469.5,0.7
470,0.7
470.5,0.7
471,0.7
471.5,0.7
472,0.7
472.5,0.7
473,0.7
473.5,0.7
474,0.7
474.5,0.7
475,0.7
475.5,0.7
476,0.7
476.5,0.7
477,0.7
477.5,0.7
478,0.7
478.5,0.7
479,0.7
479.5,0.7
480,0.7
480.5,0.7
481,0.7
481.5,0.7
482,0.7
482.5,0.7
483,0.7
483.5,0.7
484,0.7
484.5,0.7
485,0.7
485.5,0.7
486,0.7
486.5,0.7
487,0.7
487.5,0.7
488,0.7
488.5,0.7
489,0.7
489.5,0.7
490,0.7
490.5,0.7
491,0.7
491.5,0.7
492,0.7
492.5,0.7
493,0.7
493.5,0.7
494,0.7
494.5,0.7
495,0.7
495.5,0.7
